question,answer
"как подготовить пластиковые бутылки к сдаче","Ополосните бутылки от остатков напитка, снимите термоусадочную плёнку, смните бутылку."
"сколько раз можно переработать ПЭТ-бутылки","ПЭТ-бутылки можно перерабатывать до 35 раз."
"как подготовить макулатуру к сдаче","Убедитесь, что бумага чистая и сухая, удалите небумажные элементы (пружины, пластиковые окошки)."
"можно ли перерабатывать стекло бесконечно","Да, стекло можно перерабатывать бесконечное число раз без потери качества."
"что делают из переработанных бутылок","Из переработанных бутылок делают новую тару, одежду, утеплители, хозяйственные принадлежности."
"почему нельзя выбрасывать батарейки","Батарейки содержат токсичные вещества, которые загрязняют почву и воду."
"как подготовить стеклянные банки","Промойте банки, снимите металлические крышки (их можно сдать отдельно)."
"что относится к опасным отходам","Лампочки, ртутные градусники, батарейки, электронику, шины."
"можно ли сдавать чеки с макулатурой","Нет, чеки печатают на термобумаге с токсичным бисфенолом А, их нужно сдавать отдельно."
"куда сдать одежду","Одежду можно сдать в благотворительные организации или специальные контейнеры для текстиля."
"как подготовить флаконы от косметики","Ополосните флаконы, снимите дозаторы, удалите термоусадочные этикетки."
"почему важно перерабатывать бумагу","1 тонна переработанной бумаги сохраняет 17 деревьев и экономит 4000 кВт электроэнергии."
"что делать с блистерами от лекарств","Блистеры нужно сдавать в специализированные пункты, где их разделяют на пластик и алюминий."
"можно ли перерабатывать пластиковые карты","Да, но их принимают только в специализированных пунктах из-за сложного состава."
"как сократить отходы от контактных линз","Используйте линзы с большим сроком ношения, сдавайте упаковку на переработку."
"что делать с электронными сигаретами","Электронные сигареты можно сдать в контейнеры для батареек или специализированные пункты."  
"можно ли сдавать пластиковые бутылки с этикетками","Да, этикетки можно оставить, но термоусадочную плёнку нужно снять."  
"почему ПЭТ-бутылки нужно сминать","Сжатые бутылки занимают меньше места при хранении и транспортировке."  
"можно ли сдавать тетрапак с макулатурой","Нет, тетрапак — многослойная упаковка, его сдают отдельно."  
"как перерабатывают алюминиевые банки","Их переплавляют, экономя 95% энергии по сравнению с производством нового алюминия."  
"почему стекло не вредит природе","Стекло делают из песка и соды, но осколки опасны для животных и могут вызвать пожар."  
"что делать с испорченными продуктами","Лучше компостировать, но если нет возможности — выбрасывать в смешанные отходы."  
"можно ли сдавать лампочки накаливания","Да, но их не перерабатывают — можно выбросить в обычный мусор."  
"почему нельзя сжигать пластик","При горении пластик выделяет токсичные вещества (диоксины, бензапирен)."  
"как перерабатывают бумагу","Бумагу измельчают, очищают от примесей и превращают в новую целлюлозу."  
"почему важно снимать крышки с бутылок","Крышки делают из другого пластика/металла, их перерабатывают отдельно."  
"можно ли сдавать блистеры от таблеток","Да, но только в специализированные пункты, где их разделяют на пластик и фольгу."  
"что делать с упаковкой от яиц (пульперкартон)","Пульперкартон не принимают с макулатурой — его можно компостировать или выбросить."  
"почему энергосберегающие лампы опасны","Они содержат ртуть, поэтому их нельзя выбрасывать с обычным мусором."  
"можно ли сдавать зеркала со стеклом","Нет, зеркала имеют отражающее покрытие, их сдают отдельно или выбрасывают."  
"что делать с использованными батарейками","Их нужно сдавать в специальные контейнеры в магазинах или экоцентрах."  
"почему алюминиевые банки ценны","Они на 100% перерабатываются и экономят ресурсы при производстве новой тары."  
"можно ли сдавать грязную макулатуру","Нет, загрязнённая бумага не подходит для переработки — лучше выбросить."  
"почему важно мыть тару перед сдачей","Остатки продуктов загрязняют вторсырьё и усложняют переработку." 
"Можно ли сдавать пластиковые контейнеры от еды?","Да, если они имеют маркировку 1 (PET), 2 (HDPE) или 5 (PP), предварительно вымытые."
"Как подготовить жестяные банки к сдаче?","Промойте, удалите остатки пищи, по возможности сплющите для экономии места."
"Принимают ли на переработку зубные щетки?","Обычные зубные щетки не перерабатывают, но некоторые бренды имеют программы приема."
"Можно ли перерабатывать фольгированную упаковку?","Только чистую алюминиевую фольгу без пластикового слоя."
"Как утилизировать лампы накаливания?","Их можно выбрасывать с обычным мусором, так как они не содержат опасных веществ."
"Принимают ли на переработку пакеты из-под молока?","Да, это тетрапак, который сдают в специальные пункты приема."
"Что делать с испорченными CD-дисками?","Их можно сдать в специализированные пункты приема электронных отходов."
"Можно ли сдавать на переработку бумажные стаканчики?","Нет, из-за пластикового покрытия внутри они не подлежат переработке с бумагой."
"Как подготовить стеклянные бутылки к сдаче?","Промыть, снять крышки и кольца, этикетки можно оставить."
"Можно ли перерабатывать упаковку от чипсов?","Нет, такая многослойная упаковка не подлежит переработке."
"Как утилизировать старые кастрюли?","Металлические можно сдать в пункты приема металлолома."
"Принимают ли на переработку воздушно-пузырчатую пленку?","Да, в некоторых пунктах приема мягкого пластика."
"Что делать с битым стеклом?","Упаковать в плотный пакет и сдать в пункт приема стеклотары."
"Можно ли сдавать картонные коробки из-под пиццы?","Только если они чистые, без следов жира и пищи."
"Как подготовить аэрозольные баллончики к сдаче?","Убедитесь, что они полностью пустые, не прокалывайте и не сжимайте."
"Принимают ли на переработку пластиковые вешалки?","Зависит от типа пластика - уточняйте в местных пунктах приема."
"Что делать с вощеной бумагой?","Она не подлежит переработке, только компостированию или утилизации."
"Можно ли сдавать пластиковые карточки?","Да, но только в специализированные пункты приема."
"Как утилизировать старые полотенца?","Чистые можно отдать в приюты для животных, сильно изношенные - выбросить."
"Принимают ли на переработку флаконы от духов?","Стеклянные - да, пластиковые - зависит от маркировки."
"Что делать с пластиковыми трубочками?","Они практически не перерабатываются, лучше отказаться от использования."
"Можно ли сдавать на переработку бумажные салфетки?","Нет, использованные салфетки относятся к смешанным отходам."
"Как подготовить пластиковые канистры к сдаче?","Тщательно промыть, снять этикетки если возможно, сжать."
"Принимают ли на переработку фольгированные обертки?","Нет, такая упаковка не подлежит переработке."
"Что делать с деревянными изделиями?","Чистую древесину можно сдать на переработку или использовать как дрова."
"Можно ли сдавать на переработку пластиковые игрушки?","Обычно нет, но некоторые производители имеют программы приема."
"Как утилизировать старые зонты?","Металлические детали - в металлолом, ткань - в текстильные контейнеры."
"Принимают ли на переработку пробки от вина?","Натуральные пробки - да, в специальных пунктах приема."
"Что делать с пластиковыми пакетами с застежкой zip-lock?","Их можно сдать в пункты приема мягкого пластика, предварительно вымыв."
"Можно ли сдавать на переработку бумажные пакеты?","Да, если они чистые и без пластиковых элементов."
