name,city,address,accepts,work_hours,phone_number,website
"Фандоматы Ecoplatform","Екатеринбург","просп. Ленина, 66","Пластиковые бутылки, Алюминевые банки","пн-сб 09:00–19:00","8 (800) 550-11-49","ecoplatform.ru"
"ЭТМ","Екатеринбург","ул. Тверитина, 46","Пункты раздельного сбора мусора, Светотехника","пн-пт 09:00–19:00","8 (800) 775-17-71, +7 (343) 287-95-99","www.etm.ru"
"Православная служба милосердия (РСО, Благотворительные фонды)","Екатеринбург","ул. Юлиуса Фучика, 3","Одежду, обувь, вещи","пн-пт 10:00–18:00, перерыв 13:00–15:00","+7 (343) 317-12-23","sdat-veschi.ru"
"Православная служба милосердия (РСО, Благотворительные фонды)","Екатеринбург","ул. Кирова, 65","Одежду, обувь, вещи","пн-вс 7:00 - 20:00, без выходных","телефон не найден","sdat-veschi.ru"
"Православная служба милосердия (РСО, Благотворительные фонды)","Екатеринбург","Походная, 2 (Храм Преображения Господня)","Одежду, обувь, вещи","пн-вс 10:00 - 14:00, без выходных","телефон не найден","sdat-veschi.ru"
"Православная служба милосердия (РСО, Благотворительные фонды)","Екатеринбург","Лучевая, 35 (Церковь Пантелеимона Целителя)","Одежду, обувь, вещи","пн-вс 7:00 - 20:00, без выходных","телефон не найден","sdat-veschi.ru"
"Православная служба милосердия (РСО, Благотворительные фонды)","Екатеринбург","Хвойная, 80 (Храм во имя Святителя Луки Крымского)","Одежду, обувь, вещи","пн-вс 7:00 - 20:00, без выходных","телефон не найден","sdat-veschi.ru"
"Православная служба милосердия (РСО, Благотворительные фонды)","Екатеринбург","Чкалова, 244 (Церковь Владимира Равноапостольного)","Одежду, обувь, вещи","пн-вс 8:00 - 19:00, без выходных","телефон не найден","sdat-veschi.ru"
"Православная служба милосердия (РСО, Благотворительные фонды)","Екатеринбург","Димитрова, 1а (Церковь Казанской иконы Божией Матери)","Одежду, обувь, вещи","пн-вс 8:00 - 19:00, без выходных","телефон не найден","sdat-veschi.ru"
"Православная служба милосердия (РСО, Благотворительные фонды)","Екатеринбург","Машиностроителей, 4а (Церковь Рождества Христова)","Одежду, обувь, вещи","пн-вс 7:00 - 19:00, без выходных","телефон не найден","sdat-veschi.ru"
"Православная служба милосердия (РСО, Благотворительные фонды)","Екатеринбург","Бабушкина, 2 (Церковь Успения Пресвятой Богородицы)","Одежду, обувь, вещи","пн-вс 8:00 - 20:00, (контейнер внутри церкви)","телефон не найден","sdat-veschi.ru"
"Православная служба милосердия (РСО, Благотворительные фонды)","Екатеринбург","Шефская, 2Бк2 (Церковь Ксении Петербургской)","Одежду, обувь, вещи","выдача вещей: чт,сб,вс 10:00 - 15:00; прием вещей - ежедневно","Запись и все вопросы по тел. 8-908-928-74-12 матушка Мария","sdat-veschi.ru"
"СтеклоВторЕкб пункт приема вторсырья","Екатеринбург","Студенческая ул., 49,","Приём и продажа вторсырья: стекло, пластик, макулатура","пн-сб 09:00–17:00, перерыв 12:30–13:30"," +7 (343) 383-34-51, +7 (961) 770-03-82","steklovtorekb.ru"
"Умная переработка","Екатеринбург","ул. Ткачей, 13","Пластик: бутылки, стаканчики от напитков, пакеты, крышки, бутылки от бытовой химии, полипропилен, бумага, картон, жестяные банки, алюминиевые банки, стекло, коричневое стекло, ПЭТ-бутылки","ежедневно, круглосуточно","+7 (343) 382-49-13","sm-recycling.ru"
"Умная переработка","Екатеринбург","Крауля, 2","Пластик: бутылки, стаканчики от напитков, пакеты, крышки, бутылки от бытовой химии, полипропилен, бумага, картон, жестяные банки, алюминиевые банки, стекло, коричневое стекло, ПЭТ-бутылки","пн-пт 09:00–18:00","+7 (343) 382-49-13","sm-recycling.ru, umnayapererabotka"
"Умная переработка","Екатеринбург","улица Отдыха, Свердловская область","Пластик: бутылки, стаканчики от напитков, пакеты, крышки, бутылки от бытовой химии, полипропилен, бумага, картон, жестяные банки, алюминиевые банки, стекло, коричневое стекло, ПЭТ-бутылки","ежедневно, круглосуточно","+7 (343) 382-49-13","sm-recycling.ru"
"Умная переработка","Екатеринбург","Олимпийская наб., 9","Пластик: бутылки, стаканчики от напитков, пакеты, крышки, бутылки от бытовой химии, полипропилен, бумага, картон, жестяные банки, алюминиевые банки, стекло, коричневое стекло, ПЭТ-бутылки","пн-пт 08:00–21:00; сб,вс 10:00–20:00","+7 (922) 022-66-10, +7 (343) 382-49-13", "sm-recycling.ru"
